date,time,open,max,min,close,volume,turnover
2017/01/16,1405,3095.74,3105.14,3044.35,3103.43,1288,128803930112.0
2017/01/17,935,3087.03,3095.62,3081.48,3095.55,469,46944845824.0
2017/01/17,1035,3095.4,3101.05,3084.55,3087.91,286,28659417088.0
2017/01/17,1305,3087.86,3100.31,3072.34,3099.63,341,34187878400.0
2017/01/17,1405,3100.06,3108.77,3097.16,3108.77,449,44965421056.0
2017/01/18,935,3104.77,3119.89,3098.62,3114.82,545,54551543808.0
2017/01/18,1035,3114.89,3119.77,3109.48,3117.71,277,27748622336.0
2017/01/18,1305,3117.64,3123.64,3115.16,3118.28,244,24444059648.0
2017/01/18,1405,3118.66,3120.27,3111.12,3113.01,378,37802500096.0
2017/01/19,935,3104.97,3115.7,3097.09,3111.04,516,51641532416.0
2017/01/19,1035,3110.61,3115.39,3105.66,3111.2,265,26585194496.0
2017/01/19,1305,3111.57,3111.99,3099.32,3100.23,239,23985545216.0
2017/01/19,1405,3099.95,3106.76,3094.01,3101.3,370,37068193792.0
2017/01/20,935,3095.82,3112.59,3095.37,3110.3,419,41922777088.0
2017/01/20,1035,3110.24,3122.99,3110.24,3118.03,324,32408875008.0
2017/01/20,1305,3118.21,3125.5,3117.37,3123.97,288,28894265344.0
2017/01/20,1405,3123.48,3125.2,3117.0,3123.14,382,38245892096.0
2017/01/23,935,3125.42,3140.44,3125.42,3140.08,552,55266566144.0
2017/01/23,1035,3140.49,3145.65,3131.26,3133.61,354,35468468224.0
2017/01/23,1305,3133.23,3135.89,3130.77,3132.0,222,22277660672.0
2017/01/23,1405,3132.44,3136.77,3127.55,3136.77,351,35133038592.0
2017/01/24,935,3134.59,3142.76,3131.29,3139.24,460,46064955392.0
2017/01/24,1035,3139.08,3140.02,3132.11,3139.8,275,27540525056.0
2017/01/24,1305,3139.77,3145.87,3138.3,3145.33,220,22007521280.0
2017/01/24,1405,3144.96,3149.47,3139.29,3142.55,389,38940852224.0
2017/01/25,935,3137.65,3145.22,3133.29,3141.69,438,43887935488.0
2017/01/25,1035,3141.48,3151.47,3141.48,3149.92,254,25487794176.0
2017/01/25,1305,3149.82,3150.47,3141.13,3143.17,215,21502066688.0
2017/01/25,1405,3143.19,3149.87,3143.08,3149.55,358,35888029696.0
2017/01/26,935,3149.22,3162.9,3149.22,3156.73,449,44984020992.0
