datetime,open,max,min,close,volume,,,,,,,
 2015/04/16-11:30,4115.07,4167.33,4106.67,4163.93,14092987,3898.19,           ,           ,           ,           ,           ,           
 2015/04/16-14:00,4164.03,4188.95,4153.51,4154.32,15055417,3906.47,           ,           ,           ,           ,           ,           
 2015/04/16-15:00,4153.61,4195.31,4134.47,4194.82,16374893,3915.37,           ,           ,           ,           ,           ,           
 2015/04/17-10:30,4254.72,4292.15,4254.72,4277.6,36705841,3925.3,           ,           ,           ,           ,           ,           
 2015/04/17-11:30,4278.48,4289.66,4238.98,4281.39,17022873,3935.45,           ,           ,           ,           ,           ,           
 2015/04/17-14:00,4283.11,4297.78,4262.98,4288.43,17047993,3945.41,           ,           ,           ,           ,           ,           
 2015/04/17-15:00,4288.85,4317.02,4279.39,4287.3,20786589,3955.5,           ,           ,           ,           ,           ,           
 2015/04/20-10:30,4301.35,4307.15,4239.49,4297.85,43572745,3966.09,           ,           ,           ,           ,           ,           
 2015/04/20-11:30,4297.47,4352.25,4295.15,4331.28,19532371,3976.72,           ,           ,           ,           ,           ,           
 2015/04/20-14:00,4332.76,4355.96,4238.69,4238.69,25594690,3985.59,           ,           ,           ,           ,           ,           
 2015/04/20-15:00,4237.94,4258.06,4191.04,4217.08,26060252,3994.36,           ,           ,           ,           ,           ,           
 2015/04/21-10:30,4212.19,4248.56,4188.57,4210.16,35299707,4002.18,           ,           ,           ,           ,           ,           
 2015/04/21-11:30,4210.37,4263.38,4202.47,4253.55,17449804,4010.56,           ,           ,           ,           ,           ,           
 2015/04/21-14:00,4254.02,4262.93,4226.27,4237.79,15209371,4018.34,           ,           ,           ,           ,           ,           
 2015/04/21-15:00,4238.19,4294.37,4237.99,4293.62,18285893,4026.79,           ,           ,           ,           ,           ,           
 2015/04/22-10:30,4304.6,4352.14,4298,4346.07,36984336,4035.84,           ,           ,           ,           ,           ,           
 2015/04/22-11:30,4346.54,4370.03,4336.33,4369.9,18114051,4045.49,           ,           ,           ,           ,           ,           
 2015/04/22-14:00,4370.08,4382.57,4348.89,4348.92,17957761,4054.63,           ,           ,           ,           ,           ,           
 2015/04/22-15:00,4348.32,4399.9,4344.25,4398.49,24631541,4065.47,           ,           ,           ,           ,           ,           
 2015/04/23-10:30,4414.48,4419.3,4385.11,4410.57,34324066,4076.14,           ,           ,           ,           ,           ,           
 2015/04/23-11:30,4409.36,4409.42,4358.85,4407.72,19422592,4086.27,           ,           ,           ,           ,           ,           
 2015/04/23-14:00,4409.81,4442.29,4409.81,4433.7,17563722,4096.98,           ,           ,           ,           ,           ,           
 2015/04/23-15:00,4433.67,4444.37,4374.25,4414.51,24992107,4107.05,           ,           ,           ,           ,           ,           
 2015/04/24-10:30,4355.95,4409.57,4336.32,4406.25,33974716,4117.08,           ,           ,           ,           ,           ,           
 2015/04/24-11:30,4407.21,4413.89,4336.76,4336.76,20325848,4125.73,           ,           ,           ,           ,           ,           
 2015/04/24-14:00,4334.74,4358.5,4318.52,4348.33,15582369,4135.19,           ,           ,           ,           ,           ,           
 2015/04/24-15:00,4348.99,4416.18,4348.64,4393.69,21804357,4144.65,           ,           ,           ,           ,           ,           
 2015/04/27-10:30,4441.93,4490.08,4441.93,4488.03,38033121,4155.36,           ,           ,           ,           ,           ,           
 2015/04/27-11:30,4488.11,4503.88,4460.81,4475.69,21108063,4166.29,           ,           ,           ,           ,           ,           
 2015/04/27-14:00,4476.46,4509.37,4476.46,4493.71,16120184,4177.09,           ,           ,           ,           ,           ,           
 2015/04/27-15:00,4493.21,4529.69,4491.69,4527.4,22262834,4188.15,           ,           ,           ,           ,           ,           
 2015/04/28-10:30,4527.64,4555.95,4486.89,4504.26,44116543,4198.1,           ,           ,           ,           ,           ,           
 2015/04/28-11:30,4504.66,4572.39,4504.66,4512.76,24564822,4207.76,           ,           ,           ,           ,           ,           
 2015/04/28-14:00,4513.62,4538.02,4465.38,4493.15,17454281,4217.1,           ,           ,           ,           ,           ,           
 2015/04/28-15:00,4492,4501.6,4433.33,4476.21,19981565,4225.68,           ,           ,           ,           ,           ,           
 2015/04/29-10:30,4446.12,4446.12,4399.79,4423.33,30167583,4233.37,           ,           ,           ,           ,           ,           
 2015/04/29-11:30,4423.74,4469.88,4400.07,4460.43,14299768,4241.6,           ,           ,           ,           ,           ,           
 2015/04/29-14:00,4459.7,4499.94,4459.7,4474.68,14170137,4249.51,           ,           ,           ,           ,           ,           
 2015/04/29-15:00,4475.26,4495.31,4467.25,4476.62,16602686,4257.54,           ,           ,           ,           ,           ,           
 2015/04/30-10:30,4483.01,4507,4462.48,4483.57,30683630,4266.69,           ,           ,           ,           ,           ,           
 2015/04/30-11:30,4483.23,4485.28,4461.31,4472.36,14014902,4275.48,           ,           ,           ,           ,           ,           
 2015/04/30-14:00,4472.46,4501.44,4470.32,4482.84,15283918,4284.71,           ,           ,           ,           ,           ,           
 2015/04/30-15:00,4483.32,4483.32,4441.34,4441.66,17452465,4292.78,4026.36,           ,           ,           ,           ,           
 2015/05/04-10:30,4441.34,4456.5,4387.5,4439,29497176,4300.46,4033.56,           ,           ,           ,           ,           
 2015/05/04-11:30,4439.13,4479.2,4438.16,4479.2,14626294,4308.22,4041,           ,           ,           ,           ,           
 2015/05/04-14:00,4480.64,4487.28,4453.59,4463.16,12221274,4315.79,4048.48,           ,           ,           ,           ,           
 2015/05/04-15:00,4463.17,4481.59,4450.77,4480.46,15409335,4323.23,4055.97,           ,           ,           ,           ,           
 2015/05/05-10:30,4479.85,4487.89,4443.74,4455.32,29922042,4329.49,4063.29,           ,           ,           ,           ,           
 2015/05/05-11:30,4454.98,4459.85,4387.36,4398.16,15431669,4334.54,4070.16,           ,           ,           ,           ,           
 2015/05/05-14:00,4396.42,4401.31,4353.7,4373.61,14545737,4339.2,4076.35,           ,           ,           ,           ,           
 2015/05/05-15:00,4373.9,4383.29,4282.45,4298.71,20657156,4342.15,4082.02,           ,           ,           ,           ,           
 2015/05/06-10:30,4311.64,4339.2,4282.6,4303.12,24261112,4345.28,4087.36,           ,           ,           ,           ,           
 2015/05/06-11:30,4302.72,4363.08,4299.96,4356.7,13495218,4348.54,4093.03,           ,           ,           ,           ,           
 2015/05/06-14:00,4356.92,4375.89,4320.43,4320.49,12380723,4351.98,4098.57,           ,           ,           ,           ,           
 2015/05/06-15:00,4319.87,4324.46,4187.64,4229.27,21516565,4353.54,4103.08,           ,           ,           ,           ,           
 2015/05/07-10:30,4197.9,4213.33,4138.7,4176.52,22093530,4353.93,4107.15,           ,           ,           ,           ,           
 2015/05/07-11:30,4175.38,4194.75,4149.55,4169.64,8375023,4355.26,4111.58,           ,           ,           ,           ,           
 2015/05/07-14:00,4170.06,4178.16,4120.43,4148.55,10387150,4355.35,4115.59,           ,           ,           ,           ,           
 2015/05/07-15:00,4148.03,4164.31,4108.01,4112.21,13164923,4355.81,4119.1,           ,           ,           ,           ,           
 2015/05/08-10:30,4152.98,4178.16,4134.63,4150.61,19524761,4356.4,4123.04,           ,           ,           ,           ,           
 2015/05/08-11:30,4150.78,4186.26,4149.69,4163.88,9764219,4356.4,4127.3,           ,           ,           ,           ,           
 2015/05/08-14:00,4163.95,4166.65,4099.24,4132.81,12704825,4356.04,4131.26,           ,           ,           ,           ,           
 2015/05/08-15:00,4133.58,4206.76,4120.32,4205.92,13971059,4356.23,4135.8,           ,           ,           ,           ,           
 2015/05/11-10:30,4231.27,4256.1,4187.96,4252.64,26329932,4355.81,4140.56,           ,           ,           ,           ,           
 2015/05/11-11:30,4252.42,4268.89,4238.1,4255.54,12754612,4355.38,4145.42,           ,           ,           ,           ,           
 2015/05/11-14:00,4256.71,4297.97,4256.71,4295.37,15274648,4355.5,4150.45,           ,           ,           ,           ,           
 2015/05/11-15:00,4295.95,4334.49,4281.37,4333.58,17165463,4356.27,4155.88,           ,           ,           ,           ,           
 2015/05/12-10:30,4342.37,4366.64,4318.33,4365.26,30274016,4357.39,4161.74,           ,           ,           ,           ,           
 2015/05/12-11:30,4364.86,4383.48,4335.12,4362.38,17306933,4357.91,4167.32,           ,           ,           ,           ,           
 2015/05/12-14:00,4362.62,4391.95,4359.42,4390.7,14158895,4360.44,4173.02,           ,           ,           ,           ,           
 2015/05/12-15:00,4391.22,4401.98,4366.45,4401.22,17606527,4363.51,4178.94,           ,           ,           ,           ,           
 2015/05/13-10:30,4402.38,4415.61,4375.92,4392.61,28219735,4366.55,4184.37,           ,           ,           ,           ,           
 2015/05/13-11:30,4392.43,4411.66,4376.85,4394.81,14033924,4368.91,4189.73,           ,           ,           ,           ,           
 2015/05/13-14:00,4396.26,4414.56,4385.96,4393.17,15773138,4371.5,4194.92,           ,           ,           ,           ,           
 2015/05/13-15:00,4392.02,4396.99,4342.93,4375.76,20048693,4372.87,4199.83,           ,           ,           ,           ,           
 2015/05/14-10:30,4372.82,4388.59,4329.52,4348.39,26163815,4372.91,4204.37,           ,           ,           ,           ,           
 2015/05/14-11:30,4349.32,4387.84,4348.71,4387.33,13202197,4373.2,4209.34,           ,           ,           ,           ,           
 2015/05/14-14:00,4388.78,4397.26,4365.23,4372.17,11558230,4373.58,4214.1,           ,           ,           ,           ,           
 2015/05/14-15:00,4371.47,4386.29,4355.36,4378.31,16063980,4373.25,4219.36,           ,           ,           ,           ,           
 2015/05/15-10:30,4366.82,4366.82,4314.36,4314.75,24960227,4371.65,4223.9,           ,           ,           ,           ,           
 2015/05/15-11:30,4314.49,4318.71,4278.85,4315.22,13851524,4370.11,4228.19,           ,           ,           ,           ,           
 2015/05/15-14:00,4315.84,4325.63,4283.76,4325.41,11577599,4368.3,4232.64,           ,           ,           ,           ,           
 2015/05/15-15:00,4325.15,4354.66,4308.01,4308.69,16207209,4366.54,4236.79,           ,           ,           ,           ,           
 2015/05/18-10:30,4277.9,4321.07,4260.84,4316.08,22323704,4365.04,4241.06,           ,           ,           ,           ,           
 2015/05/18-11:30,4315.98,4318.38,4292.43,4309.69,10686948,4364.59,4245.16,           ,           ,           ,           ,           
 2015/05/18-14:00,4310.88,4324.78,4288.48,4291.55,11580758,4363.64,4249.41,           ,           ,           ,           ,           
 2015/05/18-15:00,4291.14,4307.35,4274.83,4283.49,14864537,4361.8,4253.23,           ,           ,           ,           ,           
 2015/05/19-10:30,4285.78,4359.7,4285.78,4352.99,24804706,4359.55,4257.46,           ,           ,           ,           ,           
 2015/05/19-11:30,4353.56,4400.72,4349.68,4400.2,15101830,4358.29,4262.29,           ,           ,           ,           ,           
 2015/05/19-14:00,4400.42,4411.98,4382.28,4387.68,13830972,4356.53,4266.81,           ,           ,           ,           ,           
 2015/05/19-15:00,4387.3,4418.4,4381.79,4417.55,15643747,4354.7,4271.42,           ,           ,           ,           ,           
 2015/05/20-10:30,4434.98,4460.08,4432.33,4453.82,27651521,4353.85,4275.98,           ,           ,           ,           ,           
 2015/05/20-11:30,4452.89,4492.33,4452.89,4476.09,16177869,4353.24,4280.5,           ,           ,           ,           ,           
 2015/05/20-14:00,4477.6,4512.23,4477.2,4504.83,15513770,4353.44,4285.27,           ,           ,           ,           ,           
 2015/05/20-15:00,4504.83,4520.54,4437.86,4446.29,21264891,4352.94,4289.31,           ,           ,           ,           ,           
